time, reward, action, observation
67, -0.0974802169725475, 0, [-0.09748022 -0.7395692  -0.80686265 67.        ]
68, -200.36110633797026, 1, [ 0.36110634 -0.09748022 -0.7395692  68.        ]
69, -200.56800330654985, 1, [ 0.5680033   0.36110634 -0.09748022 69.        ]
70, -0.4517351847369088, 0, [ 0.4517352   0.5680033   0.36110634 70.        ]
71, -0.332263672716674, 0, [-0.33226368  0.4517352   0.5680033  71.        ]
72, -0.48469779281188935, 0, [-0.4846978  -0.33226368  0.4517352  72.        ]
73, -0.1234215217776235, 0, [-0.12342152 -0.4846978  -0.33226368 73.        ]
74, -200.1162240744894, 1, [-0.11622407 -0.12342152 -0.4846978  74.        ]
75, -200.17446528979679, 1, [ 0.17446528 -0.11622407 -0.12342152 75.        ]
76, -0.7977383081684328, 0, [ 0.7977383   0.17446528 -0.11622407 76.        ]
77, -1.71194894919824, 0, [ 1.711949    0.7977383   0.17446528 77.        ]
78, -202.04500255651453, 1, [ 2.0450025  1.711949   0.7977383 78.       ]
79, -201.54328189931223, 1, [ 1.5432819  2.0450025  1.711949  79.       ]
80, -1.8993918648827726, 0, [ 1.8993919  1.5432819  2.0450025 80.       ]
81, -201.02917023184995, 1, [ 1.0291703  1.8993919  1.5432819 81.       ]
82, -201.15612907196555, 1, [ 1.1561291  1.0291703  1.8993919 82.       ]
83, -1.5046621835733847, 0, [ 1.5046622  1.1561291  1.0291703 83.       ]
84, -2.220298229621911, 0, [ 2.2202983  1.5046622  1.1561291 84.       ]
85, -202.91905643379854, 1, [ 2.9190564  2.2202983  1.5046622 85.       ]
86, -4.220285733829164, 0, [ 4.220286   2.9190564  2.2202983 86.       ]
87, -203.18064825082675, 1, [ 3.1806483  4.220286   2.9190564 87.       ]
88, -201.66106674328014, 1, [ 1.6610668  3.1806483  4.220286  88.       ]
89, -0.8538460667697636, 0, [ 0.8538461  1.6610668  3.1806483 89.       ]
90, -0.29943668237650023, 0, [-0.2994367  0.8538461  1.6610668 90.       ]
91, -1.228265576017268, 0, [-1.2282655 -0.2994367  0.8538461 91.       ]
92, -200.76049196833443, 1, [-0.76049197 -1.2282655  -0.2994367  92.        ]
93, -201.38586815176447, 1, [-1.3858682  -0.76049197 -1.2282655  93.        ]
94, -202.3191796639857, 1, [-2.3191798  -1.3858682  -0.76049197 94.        ]
95, -2.9361793635940625, 0, [-2.9361794 -2.3191798 -1.3858682 95.       ]
96, -3.407586178474111, 0, [-3.407586  -2.9361794 -2.3191798 96.       ]
97, -3.9076131660691105, 0, [-3.9076133 -3.407586  -2.9361794 97.       ]
98, -203.34313199562814, 1, [-3.343132  -3.9076133 -3.407586  98.       ]
99, -3.3218048629590102, 0, [-3.3218048 -3.343132  -3.9076133 99.       ]
100, -4.061490360459757, 0, [ -4.0614905  -3.3218048  -3.343132  100.       ]
101, -203.61332900782648, 1, [ -3.613329   -4.0614905  -3.3218048 101.       ]
102, -3.740654271244548, 0, [ -3.7406542  -3.613329   -4.0614905 102.       ]
103, -4.664255143184558, 0, [ -4.664255   -3.7406542  -3.613329  103.       ]
104, -203.81290992408879, 1, [ -3.8129098  -4.664255   -3.7406542 104.       ]
105, -3.162533063023268, 0, [ -3.162533   -3.8129098  -4.664255  105.       ]
106, -2.438967305854442, 0, [ -2.4389672  -3.162533   -3.8129098 106.       ]
107, -202.42760948648368, 1, [ -2.4276094  -2.4389672  -3.162533  107.       ]
108, -202.3664041134653, 1, [ -2.366404   -2.4276094  -2.4389672 108.       ]
109, -202.477508109238, 1, [ -2.477508   -2.366404   -2.4276094 109.       ]
110, -3.0097122393851774, 0, [ -3.0097122  -2.477508   -2.366404  110.       ]
111, -202.5156069830324, 1, [ -2.5156069  -3.0097122  -2.477508  111.       ]
112, -2.511810086117645, 0, [ -2.51181    -2.5156069  -3.0097122 112.       ]
113, -2.3307394241757065, 0, [ -2.3307395  -2.51181    -2.5156069 113.       ]
114, -201.75897184768777, 1, [ -1.7589718  -2.3307395  -2.51181   114.       ]
115, -0.28897729305737907, 0, [ -0.2889773  -1.7589718  -2.3307395 115.       ]
116, -200.70393632036075, 1, [ -0.70393634  -0.2889773   -1.7589718  116.        ]
117, -0.5919523532859057, 0, [ -0.5919523   -0.70393634  -0.2889773  117.        ]
118, -200.5240665229724, 1, [ -0.5240665   -0.5919523   -0.70393634 118.        ]
119, -200.43636901151214, 1, [ -0.436369   -0.5240665  -0.5919523 119.       ]
120, -1.0911429132972585, 0, [ -1.0911429  -0.436369   -0.5240665 120.       ]
1, -200.23009690636232, 1, [-0.2300969  0.         0.         1.       ]
2, -200.14150172535966, 1, [ 0.14150172 -0.2300969   0.          2.        ]
3, -200.13707804436896, 1, [ 0.13707805  0.14150172 -0.2300969   3.        ]
4, -200.15496495351707, 1, [0.15496495 0.13707805 0.14150172 4.        ]
5, -0.02391614053525884, 0, [0.02391614 0.15496495 0.13707805 5.        ]
6, -200.57640662146568, 1, [0.5764066  0.02391614 0.15496495 6.        ]
7, -200.56184375545828, 1, [0.56184375 0.5764066  0.02391614 7.        ]
8, -0.550014373588658, 0, [-0.5500144   0.56184375  0.5764066   8.        ]
9, -200.98594564969923, 1, [-0.98594564 -0.5500144   0.56184375  9.        ]
10, -201.88234165346518, 1, [-1.8823416  -0.98594564 -0.5500144  10.        ]
